gesture_index,gesture_name,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7
0,stop,128.5,306.4,131.8,368.4,389.1,351.9,362.2
0,stop,128.2,306.2,131.9,368.7,389.1,351.7,362.7
0,stop,128.6,306.6,131.8,368.7,389.2,352.2,362.8
0,stop,128.5,306.4,131.9,368.6,388.8,351.9,362.6
0,stop,128.5,306.7,132.0,368.8,389.1,351.6,362.8
0,stop,128.5,306.6,132.1,368.6,388.8,351.6,362.6
0,stop,128.6,306.6,132.0,368.8,389.4,351.6,362.6
0,stop,128.6,306.8,132.0,369.0,389.6,352.1,363.1
0,stop,128.4,306.4,132.0,368.7,389.0,351.8,363.0
0,stop,128.5,306.3,132.1,369.0,389.3,351.9,362.9
0,stop,128.5,306.7,132.0,369.4,389.6,352.2,363.3
0,stop,128.3,306.4,131.9,369.0,389.4,352.0,363.0
0,stop,128.6,306.8,132.2,368.9,389.6,352.0,362.9
0,stop,128.3,306.5,132.0,368.5,389.0,351.7,362.7
0,stop,128.4,306.4,132.0,368.7,388.9,352.0,362.9
0,stop,128.4,305.9,131.7,368.0,388.4,351.8,362.0
0,stop,128.5,306.2,131.8,368.7,389.0,351.9,362.8
0,stop,128.4,307.1,132.0,369.2,389.5,352.1,363.2
0,stop,128.4,306.4,132.1,369.2,389.3,352.2,363.5
0,stop,128.5,306.3,132.0,369.4,389.3,352.1,363.2
0,stop,128.5,306.4,132.2,369.2,389.4,352.1,362.5
0,stop,128.3,306.3,132.0,368.9,388.9,351.8,362.9
0,stop,128.4,306.2,131.9,368.9,389.0,351.8,362.9
0,stop,128.2,306.3,131.9,368.8,388.9,351.5,362.3
0,stop,128.5,306.7,132.0,368.8,389.1,352.0,363.2
0,stop,128.4,306.1,131.9,368.6,388.9,351.8,362.5
0,stop,128.6,306.6,132.0,369.1,389.2,352.5,362.9
0,stop,128.6,305.7,131.8,368.8,388.8,351.9,362.6
0,stop,128.4,305.6,131.5,368.6,388.4,351.8,362.3
0,stop,128.4,305.7,131.9,368.4,388.9,352.2,362.3
0,stop,128.1,305.2,131.5,368.0,388.6,351.4,362.2
0,stop,128.5,305.1,131.8,368.5,388.6,351.8,362.2
0,stop,128.3,304.8,131.9,368.2,388.6,351.8,362.3
0,stop,128.3,305.2,131.8,368.9,388.9,352.3,362.8
0,stop,128.4,304.9,131.8,368.8,389.0,351.8,362.6
0,stop,128.2,304.6,131.6,368.6,388.6,351.8,362.2
0,stop,128.3,304.5,131.5,368.5,388.5,352.0,362.3
0,stop,128.3,304.9,131.8,368.4,388.9,351.8,362.4
0,stop,128.5,305.1,131.7,368.9,388.9,352.4,362.9
0,stop,128.1,304.5,131.3,368.0,388.1,351.3,362.1
0,stop,128.2,304.9,131.7,368.4,388.5,351.9,362.4
0,stop,128.2,305.1,131.6,368.6,388.7,351.8,362.5
0,stop,128.6,305.1,131.8,368.7,389.6,352.5,362.8
0,stop,128.3,304.9,131.6,368.6,388.7,352.0,362.4
0,stop,128.2,305.3,131.9,368.9,389.2,352.2,362.4
0,stop,128.4,304.6,131.7,368.5,388.5,352.0,362.3
0,stop,128.5,304.7,131.5,368.5,388.7,351.6,362.4
0,stop,128.3,305.2,131.7,368.7,388.9,352.0,362.5
0,stop,128.4,304.8,131.7,368.5,388.2,351.3,362.2
0,stop,128.3,304.8,131.8,368.7,388.7,351.8,362.5
0,stop,128.5,305.0,131.9,368.7,388.9,352.0,362.8
0,stop,128.3,305.0,131.6,368.7,388.9,352.0,362.3
0,stop,128.4,304.9,132.0,368.8,388.7,351.9,362.9
0,stop,128.4,304.8,131.6,368.6,388.3,351.5,362.0
0,stop,128.3,304.6,131.5,368.5,388.2,351.7,361.9
0,stop,128.1,304.8,131.7,368.0,388.1,351.6,361.9
0,stop,128.5,304.8,131.6,368.3,388.8,351.7,362.3
0,stop,128.2,305.1,131.6,368.7,388.9,351.8,362.1
0,stop,128.4,305.3,131.8,368.4,388.9,351.6,362.3
0,stop,128.4,305.3,131.9,368.6,389.0,351.5,362.1
0,stop,128.2,304.7,131.7,368.0,388.4,351.6,362.1
0,stop,128.4,304.8,131.6,368.0,388.4,351.4,361.9
0,stop,128.1,304.9,131.8,368.4,388.3,351.5,361.8
0,stop,128.1,305.3,131.7,368.8,388.9,351.7,362.0
0,stop,128.4,305.1,132.1,368.8,389.1,351.9,362.3
0,stop,128.4,304.4,131.6,368.0,388.4,351.6,361.6
0,stop,128.3,304.9,131.5,368.4,388.5,351.9,362.0
0,stop,128.3,304.4,131.7,368.4,388.4,351.5,361.9
0,stop,128.2,304.5,131.6,368.6,388.5,351.2,362.0
0,stop,128.3,304.7,131.6,368.6,388.6,351.9,362.3
0,stop,128.4,304.5,131.7,368.9,388.9,351.9,362.5
0,stop,128.1,303.6,131.6,368.6,388.4,351.4,362.3
0,stop,128.3,304.3,131.5,368.7,388.6,351.9,362.8
0,stop,128.3,304.2,131.6,368.5,388.3,351.5,362.4
0,stop,128.2,304.4,131.4,368.8,388.8,351.9,362.4
0,stop,128.3,304.2,131.5,368.6,388.7,351.9,362.0
0,stop,128.1,303.6,131.5,368.6,388.8,351.5,362.2
0,stop,128.4,303.4,131.6,368.3,388.3,351.5,362.3
0,stop,128.4,304.0,131.7,368.7,388.6,351.8,362.2
0,stop,128.2,303.8,131.5,368.5,388.6,351.5,362.2
0,stop,128.1,304.0,131.5,368.1,388.4,351.6,361.8
0,stop,128.2,303.9,131.5,368.6,388.5,351.3,362.0
0,stop,128.2,304.0,131.8,368.7,388.6,351.6,362.2
0,stop,128.1,304.3,131.6,368.5,388.3,351.7,362.3
0,stop,128.3,304.2,131.7,368.8,388.9,352.0,362.4
0,stop,128.2,304.2,131.5,368.7,388.4,351.3,362.1
0,stop,128.2,304.2,131.6,368.7,388.5,351.7,362.3
0,stop,128.3,303.9,131.7,368.7,388.6,351.7,362.4
0,stop,128.3,304.3,131.6,368.6,388.9,351.9,362.5
0,stop,128.2,303.9,131.4,368.3,388.4,351.1,361.8
0,stop,128.3,303.9,131.5,368.6,388.6,351.9,362.3
0,stop,128.1,304.2,131.5,368.9,388.6,351.8,362.1
0,stop,128.2,304.1,131.5,368.2,388.3,351.6,362.1
0,stop,128.3,303.8,131.6,368.3,388.4,351.4,361.8
0,stop,128.1,303.8,131.5,368.2,388.4,351.5,361.9
0,stop,128.4,304.0,131.6,368.9,388.6,351.8,362.5
0,stop,128.4,304.2,131.5,369.0,388.5,351.7,362.2
0,stop,128.2,303.8,131.5,368.6,388.6,351.3,361.9
0,stop,128.3,304.4,131.6,368.8,388.2,351.6,362.5
0,stop,128.4,304.3,131.6,368.6,388.3,351.6,362.1
0,stop,128.2,304.0,131.6,368.8,389.1,351.5,362.5
0,stop,128.2,304.2,131.6,368.2,388.8,351.2,362.0
0,stop,128.3,303.9,131.6,368.3,388.8,351.7,361.9
0,stop,128.3,304.2,131.6,369.0,389.0,351.9,362.4
0,stop,128.2,304.2,131.6,368.4,388.6,351.1,362.0
0,stop,128.1,304.1,131.5,369.0,388.7,352.0,361.8
0,stop,128.3,304.8,131.6,369.0,389.2,351.7,362.1
0,stop,128.2,304.1,131.8,368.6,389.0,351.4,362.3
